id	Cluster
GSM1369796	Cluster1
GSM1369797	Cluster1
GSM1369798	Cluster1
GSM1369799	Cluster2
GSM1369800	Cluster1
GSM1369801	Cluster2
GSM1369802	Cluster1
GSM1369803	Cluster1
GSM1369804	Cluster1
GSM1369805	Cluster1
GSM1369806	Cluster2
GSM1369807	Cluster1
GSM1369808	Cluster2
GSM1369809	Cluster2
GSM1369810	Cluster1
GSM1369811	Cluster1
GSM1369812	Cluster1
GSM1369813	Cluster1
GSM1369814	Cluster1
GSM1369815	Cluster2
GSM1369816	Cluster1
GSM1369817	Cluster1
GSM1369818	Cluster1
GSM1369819	Cluster1
GSM1369820	Cluster1
GSM1369821	Cluster2
GSM1369822	Cluster2
GSM1369823	Cluster1
GSM1369824	Cluster2
GSM1369825	Cluster1
GSM1369826	Cluster1
GSM1369827	Cluster2
GSM1369828	Cluster1
GSM1369829	Cluster2
GSM1369830	Cluster2
GSM1369831	Cluster2
GSM1369832	Cluster2
GSM1369833	Cluster1
GSM1369834	Cluster1
GSM1369835	Cluster2
