id	GSM1369756	GSM1369757	GSM1369758	GSM1369759	GSM1369760	GSM1369761	GSM1369762	GSM1369763	GSM1369764	GSM1369765	GSM1369766	GSM1369767	GSM1369768	GSM1369769	GSM1369770	GSM1369771	GSM1369772	GSM1369773	GSM1369774	GSM1369775	GSM1369776	GSM1369777	GSM1369778	GSM1369779	GSM1369780	GSM1369781	GSM1369782	GSM1369783	GSM1369784	GSM1369785	GSM1369786	GSM1369787	GSM1369788	GSM1369789	GSM1369790	GSM1369791	GSM1369792	GSM1369793	GSM1369794	GSM1369795	GSM1369796	GSM1369797	GSM1369798	GSM1369799	GSM1369800	GSM1369801	GSM1369802	GSM1369803	GSM1369804	GSM1369805	GSM1369806	GSM1369807	GSM1369808	GSM1369809	GSM1369810	GSM1369811	GSM1369812	GSM1369813	GSM1369814	GSM1369815	GSM1369816	GSM1369817	GSM1369818	GSM1369819	GSM1369820	GSM1369821	GSM1369822	GSM1369823	GSM1369824	GSM1369825	GSM1369826	GSM1369827	GSM1369828	GSM1369829	GSM1369830	GSM1369831	GSM1369832	GSM1369833	GSM1369834	GSM1369835
PDPK1	7.1830785	6.84239016666667	6.84046458333333	6.90547366666667	6.67186508333333	6.95842166666667	7.05208925	7.1160595	6.81766425	6.73027616666667	6.87182241666667	6.8613789375	7.07820641666667	6.84052422916667	7.01321670833333	7.13013375	7.018331125	7.12590383333333	6.86722945833333	6.66838889583333	7.07820575	6.99510825	7.06875645833333	6.90954804166667	6.99672008333333	7.086042875	7.06117875	7.11831120833333	6.99981116666667	7.14583170833333	7.06853783333333	7.11340420833333	7.152828	6.9868683125	7.175845875	7.10171691666667	7.261372375	7.12181429166667	7.18085729166667	7.055054375	7.06837270833333	6.77168333333333	7.20379545833333	7.3013385	7.28912979166667	7.18864910416667	7.310629375	7.45359825	7.21020054166667	7.36597025	7.31477979166667	7.393441375	6.959697125	7.3963185	7.28273075	7.2900325	7.20778875	7.29195433333333	7.34918275	7.20474970833333	7.33525558333333	7.23373475	7.30292758333333	7.15550095833333	7.30752441666667	7.37895495833333	7.45568375	7.24772458333333	7.26360925	7.19764375	7.22942008333333	7.1551205	7.28006470833333	7.02283395833333	7.03887883333333	7.282723875	7.0394475	7.06777370833333	7.07750633333333	6.95208391666667
WWP1	6.853517875	7.02436490625	7.154131375	6.9508420625	7.3819904375	6.82862925	6.5001988125	6.7883751875	6.984442375	7.125325375	7.3130455	6.990836	6.3392225	7.33617696875	6.9579324375	6.949297875	6.57895325	6.709556125	6.857131625	6.9508308125	6.674016125	6.863065625	6.725937	6.8059085	6.7362923125	6.5076431875	6.558612625	7.0150543125	6.351013625	6.533912	6.3881836875	6.57317646875	6.40470621875	6.3952663125	6.3334765	6.236853	6.546217	6.682328	6.7401046875	6.7187455625	6.5079135625	7.13029525	6.6266655625	6.7928466875	6.6348895	6.218360875	6.39978671875	6.292993	6.4570055	6.430832125	6.394448375	6.5528435625	6.9195740625	6.7239485	6.4836851875	6.6581249375	6.5695604375	6.671890625	6.2652278125	6.523316	6.501177625	6.4422105625	6.4323085625	6.262263625	6.4061231875	6.1777648125	6.3635005	6.504954875	6.4738699375	6.692438625	6.03652375	6.2840885625	6.3505809375	6.9021065625	6.3751948125	6.5020754375	6.6296625625	6.940518875	6.62740675	6.49631575
ITPKB	6.8791014375	7.118942125	7.102683375	7.079343375	6.762422125	7.134591125	6.8266225	6.89648775	7.3085184375	7.335334875	7.11157475	7.122018125	6.97694425	7.53164625	6.959962625	7.2329585	7.078628125	7.3985485	7.31808575	7.205406	7.184327125	6.857266375	6.8431375	6.83099075	6.969528875	6.679677375	7.027972875	6.982876375	7.097745375	7.06988825	7.08629275	7.2549205	6.963453875	7.080625375	7.06051875	6.5874115	6.8852413125	6.9917685	7.217357625	7.067034625	6.721661625	6.959962625	6.56979925	7.016236375	6.881431875	6.957150375	6.858701875	6.984332875	6.82962925	6.866573125	6.929205375	6.8176175	7.264560125	7.079343375	6.933605625	6.462889875	6.6531885	6.796944125	6.683911375	7.3430025	6.825981625	6.843925	6.650026	6.762087125	6.7425895625	6.753443	6.959962625	6.937081625	6.758229375	6.964078125	6.94505575	7.193536125	6.79748325	7.236212625	7.0445730625	6.994238375	7.05078825	6.644508125	6.752482125	7.041587625
TRIM28	8.45927975	9.47885	8.212629625	8.512354375	8.07560125	8.85188275	8.59431825	8.731794375	8.27343575	8.318930125	8.037555875	8.6374705	9.067421375	8.50454425	8.377137	8.501503125	8.925069375	9.13433675	8.065366125	8.4093475	8.8521209375	8.55771325	8.502986875	8.267004625	8.567813625	8.176651125	8.54446425	8.42568575	8.858062125	8.69404325	8.762618875	8.986503625	9.059508	8.70770425	8.9622635	8.949347625	8.32532625	8.391591875	8.8418615	9.04103	8.44942525	7.94959825	7.915815375	8.610747125	8.2857525	8.31451175	8.09017475	8.007172625	8.23493125	8.170916125	9.19438025	8.348994	8.30335525	8.8090815	8.058281125	8.045627375	8.020786125	8.076638125	8.456723125	8.8105965	8.001377625	8.293602125	8.114402	8.378418625	8.231955	8.731359375	8.596285	8.07483025	8.765048	8.1510675	8.384517	8.901227375	8.292422625	9.297045625	8.685997125	8.64849975	8.478007625	8.01682975	8.214536	8.448648875
DDB2	6.52532175	6.41979175	6.56423	6.5255555	6.221281375	6.472066	6.67794	6.354270375	6.2943701875	6.44741525	6.768461875	6.34733525	6.57201025	6.6200411875	6.52335075	6.758027375	6.988156	6.324324625	6.674091125	6.188046625	6.436358	6.738298375	6.569377125	6.6809888125	6.686864125	6.6771785	6.623574125	6.50595625	6.81950375	6.2835228125	6.523189875	6.56997875	6.63589775	6.446185125	6.6671205	6.72591	6.738084125	6.654530625	6.759380375	6.80122775	7.012929125	6.301309125	6.930891	6.563162	6.6653385	6.33627825	6.89070425	6.774493375	6.639699625	6.576948625	6.6426993125	6.87152425	6.7030248125	6.52855025	6.439085625	6.990944625	6.671895875	6.804463375	6.684091625	6.70001975	6.815306625	6.498298375	6.981989875	6.636911875	6.916812625	6.5002439375	6.8879445	6.9513105	7.011381	7.16047875	6.79095875	6.421855625	6.641141	6.632947625	6.444098	7.062051625	6.61231675	6.532129375	6.786105875	6.5338845
RUVBL2	8.04107475	8.2967165	8.2814255625	8.429755125	7.881160125	8.222657375	8.672667	8.515786875	8.432343625	8.1088665	8.190562625	8.510142625	8.6348465	8.419973875	8.158869875	8.56207225	8.768835875	8.29316575	8.4464325	8.358262875	8.5132355	8.451462375	8.583631125	8.29558375	8.639737375	8.520424375	8.432343625	8.408475	8.6085855	8.57467425	8.402545375	8.1043785	8.495776375	8.6268135	8.403349125	8.954458375	8.532687625	8.6081455	8.468025375	8.503308375	8.859470625	8.11144325	8.388572625	8.44718975	8.454630375	8.615472	8.458893375	8.659876625	8.639247375	8.687634125	8.555540125	8.4093475	8.78219075	8.385367875	8.701575625	8.520424375	8.51368125	8.5251125	8.4930725	8.552721625	8.574225625	8.615472	8.63529175	8.8160755	8.7848785	8.900269125	8.66132825	8.58830025	8.501503125	8.458893375	8.661727375	8.8276485	8.55816975	8.2275648125	8.629430875	8.776161625	8.5169136875	8.430112375	8.593857625	8.326561625
GRK6	8.11804834375	8.67421696875	7.97250003125	8.3062456875	7.90214746875	8.46819165625	8.34567703125	8.591807875	8.18160478125	8.19708625	7.9246500625	8.3109309375	8.6915080625	8.18474365625	8.2364270625	8.296734	8.71621846875	8.7965528125	8.08088621875	8.22839346875	8.67287734375	8.3328050625	8.251669921875	8.07040378125	8.319304375	8.11851553125	8.1162844375	8.16528515625	8.432337421875	8.47574996875	8.63371690625	8.752365765625	8.8434800625	8.61257846875	8.62484384375	8.76164775	7.95005321875	8.37203621875	8.4461359375	8.44310178125	7.887689375	8.14792178125	7.8854866875	8.26516440625	8.05298775	8.39451521875	8.0597568125	7.99802153125	8.1047923125	8.03924278125	8.605930125	7.8778005625	8.21175528125	8.30391509375	8.09439203125	7.8422616875	7.94010953125	8.08350896875	8.084605375	8.53760959375	7.9686916875	8.14490465625	7.90526021875	8.03000503125	8.015199125	8.49287059375	8.43008521875	8.12065540625	8.6319976875	8.09828809375	8.17719075	8.69960809375	8.0823833125	8.54716303125	8.49326075	8.347011375	8.24663275	8.077969890625	8.07597071875	8.430433625
AKT1	7.8217201875	8.506165125	7.724167125	7.838288875	7.03560075	8.1830965	7.685527875	8.05145275	7.6406425	7.641258125	7.33741425	7.986969375	8.378803	8.11514075	7.767661625	7.769782625	8.2983993125	8.316157625	7.8343625	7.511677375	8.132951625	7.99196275	7.764928	7.699186	7.924606125	7.73223125	7.782604875	7.774564375	8.1112654375	7.903287875	8.01753975	8.28320475	8.43798275	8.401644625	8.564512125	7.58669375	7.596622375	7.981694625	8.284513125	8.32178825	7.544204375	6.9249015	7.369550125	7.987942375	7.571840875	7.889165875	7.440711875	7.62961325	7.606836625	7.369018375	8.15145725	7.205406	7.720214	8.166480625	7.65359175	7.38942425	7.461075875	7.559250875	7.86005675	8.260360125	7.6222345	7.546745875	7.321864875	7.543389375	7.485111	7.6642915	8.24780525	7.63179425	8.256463	7.460684125	7.782885	8.462954125	7.445073125	8.3067986875	8.003017375	7.972205	7.76889725	7.529921125	7.402002	8.076915375
SYK	8.9505285625	9.3294413125	9.289269125	8.8766910625	8.536657625	9.1600518125	9.0615903125	8.8425125	8.8228149375	8.965057375	8.7668858125	8.7439719375	9.1310365625	8.9538320625	9.19133425	8.8052895625	9.0348834375	9.0082363125	8.8676226875	8.801029	8.800388875	9.0217903125	8.8881183125	8.810061875	9.008093875	8.927822	8.9786345	8.9757425625	9.02522425	8.8360455625	8.84338675	8.957645375	9.087908875	9.0101383125	8.8884946875	8.913534	8.6643220625	9.142140375	8.8404753125	8.92733625	8.6976334375	8.55112	8.64984975	9.1689998125	8.9985876875	8.8301581875	8.4686088125	8.7986425	8.895203	8.9223931875	8.76036675	8.805427375	8.6729166875	8.9182741875	8.823581375	8.77553275	8.8067776875	8.8794656875	8.6907568125	8.9191215	8.6831611875	8.6984781875	8.76269425	8.9401205625	8.699184625	8.8694574375	8.9425038125	8.81467453125	9.1053096875	8.728791875	8.7787200625	8.866937125	8.665735875	9.3874305	8.8967109375	8.8873006875	9.0043001875	8.836209125	8.8391384375	8.775077875
MDH1	9.77657275	9.67008675	9.941078	9.88349375	10.20936325	9.83064525	9.721229125	9.99977275	10.00370275	10.127830875	9.930025125	10.014033125	9.7512395	10.021310875	9.961521125	9.96475	9.6735565	9.606331	9.98981325	10.01087575	9.627763625	10.06249075	10.036987875	10.072168125	10.0222185	10.00467925	9.92093475	10.121016875	9.93304	10.053712125	9.768388625	9.87858175	9.82114775	9.94744475	9.855759875	10.271125125	10.136045625	10.144546	9.83064525	9.732650625	10.310824375	10.153442375	10.564204125	9.970871125	10.09154325	10.117597625	10.3501785	9.9932803125	10.220373875	9.87858175	9.7598991875	10.040071125	10.171964	9.863128	10.082647625	10.30150775	10.18690125	10.026203125	9.997840875	9.965871875	10.146563125	10.169504125	10.146563125	10.2596585	10.16199425	9.840832	9.7664475	10.139106625	9.801554375	10.082647625	10.0814035	9.827769125	10.162887125	9.5202605	10.04237475	10.129009875	9.844044	10.1891795	10.060638375	9.805155375
