id	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC101060747	0.30283895078125	7.96227871445312	6.93560628803054	9.01185451595098e-10	1.28040428962632e-05	11.8438409473054
PDPK1	0.215193088020834	7.11436485338542	6.64800149858666	3.20697939502202e-09	2.27823816222365e-05	10.6767337680121
RAB2A	-0.206969833333333	7.74345464166667	-6.47298841793743	6.89737631982748e-09	3.2665974250703e-05	9.97232857908091
LOC100506248	0.298084605208333	11.2083166744792	6.06638018882714	3.99407235562642e-08	7.20425554003338e-05	8.35658254821155
LOC728026	0.298084605208333	11.2083166744792	6.06638018882714	3.99407235562642e-08	7.20425554003338e-05	8.35658254821155
MIR1244-1	0.298084605208333	11.2083166744792	6.06638018882714	3.99407235562642e-08	7.20425554003338e-05	8.35658254821155
MIR1244-2	0.298084605208333	11.2083166744792	6.06638018882714	3.99407235562642e-08	7.20425554003338e-05	8.35658254821155
MIR1244-3	0.233252065625002	11.110051671875	6.04110501785584	4.44953965518152e-08	7.20425554003338e-05	8.25723683529485
VPS35	0.249825096875002	10.5560337390625	6.03518063649253	4.56350646539277e-08	7.20425554003338e-05	8.23397078362638
TRIM44	0.203895503125	8.6168972765625	5.77811584216108	1.35612874764611e-07	0.000183874343620491	7.23220302434077
DPP8	0.329911159375	8.9464712578125	5.74749106099083	1.54227262674409e-07	0.000183874343620491	7.11392789859819
POGLUT1	0.230893739062501	7.83040755859375	5.74584010407678	1.55299276706496e-07	0.000183874343620491	7.10755857814556
PTMA	0.227268018125	11.1346960971875	5.68964927254228	1.96501481367492e-07	0.000214761003636102	6.89119759170673
RPL13AP5	0.0829803039062501	13.3509876066406	5.48970731977456	4.50684846081137e-07	0.000349014426899865	6.1282540027486
RPL13A	0.0921308581250005	13.0971608328125	5.48121973493382	4.66728189125664e-07	0.000349014426899865	6.0961167457366
SNORD32A	0.0921308581250005	13.0971608328125	5.48121973493382	4.66728189125664e-07	0.000349014426899865	6.0961167457366
SNORD33	0.0921308581250005	13.0971608328125	5.48121973493382	4.66728189125664e-07	0.000349014426899865	6.0961167457366
SNORD34	0.0921308581250005	13.0971608328125	5.48121973493382	4.66728189125664e-07	0.000349014426899865	6.0961167457366
SNORD35A	0.0921308581250005	13.0971608328125	5.48121973493382	4.66728189125664e-07	0.000349014426899865	6.0961167457366
METTL4	0.13502176875	6.202614084375	5.33645091074911	8.44671011525498e-07	0.000600054286587714	5.55128117904502
TNPO3	0.141977267187501	7.94607261223958	5.15999066605616	1.72481159898321e-06	0.00116695824754064	4.89608515409572
S100A4	-0.134850990625	12.8989389390625	-5.1359207711813	1.89968133013493e-06	0.00122684874266169	4.80751229405453
NIF3L1	0.2171711234375	8.52415854921875	5.04819149700628	2.69645717896518e-06	0.00166570711298858	4.48637580592167
C15orf49	-0.144584565625	6.7206359046875	-4.98527419299973	3.46057633989576e-06	0.00204866119321829	4.25773977549381
MEX3D	0.0777296812500003	5.425536390625	4.9379390372188	4.171116769696e-06	0.0023382084273185	4.08667594950602
MSL3	0.1153956	7.92349570859375	4.93146100373105	4.27881609728893e-06	0.0023382084273185	4.06332942077671
GLT8D2	0.12604885625	6.552505525	4.91880112186475	4.49717962844929e-06	0.00236651585781509	4.01774892240646
SKAP2	0.1074616278125	7.93222097484375	4.89421575975063	4.95272810975409e-06	0.00251315574940665	3.92940359712937
GMEB1	-0.141863457812499	7.64545781328125	-4.87857039600999	5.26573718120802e-06	0.00255677286537474	3.87330211695733
Y16709	-0.429291746874998	11.3342953671875	-4.87220231277745	5.3985913542541e-06	0.00255677286537474	3.85049392052449
RPL3L	0.0943547593749999	5.8762962203125	4.84861972904715	5.91964206858505e-06	0.00271310562936956	3.76616444286702
DHX35	0.111115645312501	5.88035858828125	4.78839427853314	7.48274594791997e-06	0.00332233920087646	3.55177850152516
RNU86	0.113509961718749	12.8589524128906	4.7634112784045	8.24316957274595e-06	0.00344467509675219	3.46326327740556
SNORD83B	0.113509961718749	12.8589524128906	4.7634112784045	8.24316957274595e-06	0.00344467509675219	3.46326327740556
RCAN2	0.0893645265625	5.45164759453125	4.74613044257258	8.81263369749221e-06	0.00353788669361089	3.40218205931243
RPL3	0.110996873125001	12.8331768103125	4.74171302083072	8.9642399331357e-06	0.00353788669361089	3.38658730134012
RPL4	0.121122793750001	12.6857761885417	4.69909022678153	1.05636501265552e-05	0.003660691243856	3.23652072285278
SNORD16	0.121122793750001	12.6857761885417	4.69909022678153	1.05636501265552e-05	0.003660691243856	3.23652072285278
SNORD18A	0.121122793750001	12.6857761885417	4.69909022678153	1.05636501265552e-05	0.003660691243856	3.23652072285278
SNORD18B	0.121122793750001	12.6857761885417	4.69909022678153	1.05636501265552e-05	0.003660691243856	3.23652072285278
SNORD18C	0.121122793750001	12.6857761885417	4.69909022678153	1.05636501265552e-05	0.003660691243856	3.23652072285278
ZEB2	-0.5063519671875	7.89702719140625	-4.662843510417	1.21393674209795e-05	0.00401493257507163	3.10948528856413
HIRA	-0.372066998437499	6.39208504765625	-4.66259227476712	1.21510487561993e-05	0.00401493257507163	3.10860665830971
PAPD7	0.17556290625	7.9735284703125	4.63661404531108	1.34197464959382e-05	0.00433335814123385	3.0178959349045
HLA-DMB	0.205578075	11.8183470375	4.63052494821206	1.373523825787e-05	0.00433667255928482	2.99667468386762
IL17RA	-0.255011987499999	10.194537409375	-4.60764042832003	1.4986638527062e-05	0.00462891652592385	2.9170582844605
NVL	0.154013726562501	6.86520935078125	4.5818903687293	1.65272212150829e-05	0.0049961438090191	2.82773677776417
MATN4	-0.1666279296875	6.04873249453125	-4.5707909509294	1.72377190937476e-05	0.00500418780496773	2.78932218540965
THOC2	0.17335827109375	7.96842216289062	4.57047687377366	1.72582490458487e-05	0.00500418780496773	2.78823594375761
SNORD42A	0.0677014401041676	13.7831219231771	4.55991476101264	1.79626359864178e-05	0.00510426264190047	2.75173127668033
LPIN1	0.0978973302083334	6.54920655208333	4.52457811290159	2.05278662048079e-05	0.00571882202035119	2.6299503277393
FCGR2A	0.2416935359375	10.0154359039062	4.50841681047408	2.18162675513857e-05	0.00593369385851371	2.57443406388019
ADSL	0.138902552343749	9.19093750507813	4.50456863238069	2.21344154350526e-05	0.00593369385851371	2.56123186657165
PHF20	0.145147059895833	7.45815859817708	4.46950035627422	2.52486196361337e-05	0.00664319236648496	2.44122084546289
ARHGEF10	0.0770836101562503	5.73061415273437	4.43821604113828	2.83818459448376e-05	0.00724479832979114	2.33461950477267
ZNF37BP	0.151159540625	5.51718085	4.43658671161479	2.85549483719245e-05	0.00724479832979114	2.32907954687662
LIMK2	-0.116358411979167	6.22976042317708	-4.41771849420406	3.06354856499031e-05	0.00761300885855379	2.26501181583388
XDH	0.171432879687501	7.23856826640625	4.40602932920075	3.19972236080182e-05	0.00761300885855379	2.22540143903911
NELFB	-0.2064067859375	7.62944109921875	-4.40587426783965	3.20156754162096e-05	0.00761300885855379	2.22487640784523
TBC1D2	-0.2485680578125	6.55994232109375	-4.40211499050848	3.24661810269434e-05	0.00761300885855379	2.21215099335371
EDA	0.0666085747395829	6.07735639361979	4.40026976695273	3.26895477137625e-05	0.00761300885855379	2.20590713192989
CDC42EP3	-0.241676488020834	9.48554528046875	-4.39592656620323	3.32211816744324e-05	0.00761300885855379	2.19121673371354
UTP6	0.195717112500001	8.7268006953125	4.37964770695402	3.52892356160775e-05	0.00786449487694456	2.13623180271935
DESI2	-0.0903882427083332	6.35286798229167	-4.37860658313696	3.54256525988494e-05	0.00786449487694456	2.13271933028222
C1D	-0.258250659375	8.6164632171875	-4.347231293114	3.97844936356719e-05	0.00857065795556652	2.02710124218899
UBE2E1	-0.1908499	10.44969555	-4.34703709876297	3.98130225976485e-05	0.00857065795556652	2.02644894327551
ADAM11	0.187050604687501	6.81468141328125	4.33289591054311	4.19444938253483e-05	0.00889473683985893	1.97899569238171
MIR6125	0.199677665625001	9.654489228125	4.31439825137778	4.48995889413723e-05	0.00924541100984083	1.91706405905566
USP15	0.199677665625001	9.654489228125	4.31439825137778	4.48995889413723e-05	0.00924541100984083	1.91706405905566
CD68	-0.302007110937499	8.00991877421875	-4.30740040544824	4.60691465684626e-05	0.00935072049206738	1.8936764296711
DHTKD1	0.1142784453125	5.77564618359375	4.28788773021664	4.94878195024737e-05	0.0098734717162295	1.8285843287088
F7	-0.235283878125	6.0671910734375	-4.27947697035435	5.10357977411592e-05	0.0098734717162295	1.80058238804551
ATP5C1	0.0981279250000011	10.0691220050781	4.27453623870331	5.19668082820343e-05	0.0098734717162295	1.78414883359086
TRPM6	0.1153395578125	6.30985567421875	4.26857239312819	5.31124558518682e-05	0.0098734717162295	1.76432769601363
NDUFC1	-0.162638076562499	9.35356917578125	-4.26477034324063	5.38555061901876e-05	0.0098734717162295	1.75170022102378
CBX5	-0.11498000625	6.58083957109375	-4.26335890889015	5.41338935768509e-05	0.0098734717162295	1.74701427710997
WWP1	-0.24275047265625	6.63775760117187	-4.26063383641832	5.46753127875721e-05	0.0098734717162295	1.73796975703408
IL1R2	0.217480486718751	6.20374036367187	4.25965249309535	5.48715632939259e-05	0.0098734717162295	1.73471354395597
SLC25A14	0.1171691	7.1450687765625	4.25951582185814	5.48989488726162e-05	0.0098734717162295	1.73426008908512
STMN4	0.108210946875001	5.6053980328125	4.24883867790053	5.70796308551564e-05	0.0101373424398758	1.69886248253832
SCNM1	0.125708543750002	9.6453711734375	4.24083906291183	5.87679697643352e-05	0.0101826257855082	1.67237735848587
TNFAIP8L2-SCNM1	0.125708543750002	9.6453711734375	4.24083906291183	5.87679697643352e-05	0.0101826257855082	1.67237735848587
EXOSC9	0.0987455890625007	7.59032719765625	4.22024413205627	6.3339141319579e-05	0.010757152874088	1.60433320885825
DYNLRB1	-0.1569036421875	9.80555091171875	-4.21912104468679	6.35980321947771e-05	0.010757152874088	1.60062849201175
EIF2D	0.153721682812499	8.69032822578125	4.21118365726225	6.54570361304223e-05	0.0109413361098946	1.57446291287666
HAPLN2	0.121530809375	5.8964589953125	4.19814529341107	6.86249465393909e-05	0.0111797009799895	1.53154830818567
CHRNA2	-0.1704299875	6.575532128125	-4.19800890554927	6.86588527070384e-05	0.0111797009799895	1.53109983660387
EIF3H	0.161153567187499	10.9874890726563	4.19566673647282	6.92436434571421e-05	0.0111797009799895	1.52339971250692
DMTF1	0.304798165625	8.4093863640625	4.19233771724828	7.00830951520194e-05	0.0111880968080887	1.51245981653948
RAB11FIP1	-0.228090296875	9.137134290625	-4.17885807564862	7.35834759737944e-05	0.0116163780737297	1.46821805021793
FLNC	0.137666014062501	6.68135482265625	4.17264333861418	7.52534686141811e-05	0.011749464638135	1.44785051717255
UBQLN2	-0.2613060046875	8.34980274140625	-4.16908879356322	7.62249747680384e-05	0.0117717874076553	1.4362097435668
GTF3A	0.13722124921875	10.1031079191406	4.16114403547412	7.84402454720906e-05	0.0118970735268941	1.41021393488436
SH3GLB2	-0.280083528125	6.050192334375	-4.16018811068381	7.87109312730887e-05	0.0118970735268941	1.4070881767191
KLF7	0.198523042187501	8.06562758203125	4.15582397587433	7.99581748472045e-05	0.0119580139718149	1.39282371050229
PAF1	-0.14357986875	7.55600031875	-4.15070356556538	8.14458220299966e-05	0.0119580139718149	1.3760992971366
KDM4B	-0.0948306828125001	7.34048616484375	-4.14748026242578	8.23959243138746e-05	0.0119580139718149	1.36557791205159
GLA	0.1831149015625	8.92886041015625	4.14719449330891	8.24806706952321e-05	0.0119580139718149	1.36464536337707
USP27X	0.1121846890625	5.77080314765625	4.13358338744763	8.66157207566045e-05	0.0124306682879781	1.32027521622625
