id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ATP5D	0.577428478749999	7.42129144453125	11.1670220057387	4.67319855366489e-14	3.31984025252354e-10	21.7692287276106
MGAT1	0.638279760833332	9.2528157328125	9.60962358678452	4.28740966110813e-12	7.9875108167811e-09	17.4369468349669
RALY	0.599538349166666	8.0279819734375	9.26842485412625	1.20249026867854e-11	1.55318015794407e-08	16.4429847283676
SLC2A6	0.569423788333333	7.952673740625	9.13680037630356	1.79688941241343e-11	1.82358605511214e-08	16.0554241491255
FXYD5	0.662635951666667	10.849230046875	9.03057892485858	2.48860334099756e-11	1.96940765468375e-08	15.7410240146373
LILRA6	0.642504378333334	9.594596021875	9.02973989668295	2.49502658954866e-11	1.96940765468375e-08	15.7385348486768
STXBP2	1.0183679675	8.8581563953125	8.95655349437963	3.12511333081689e-11	2.33692685285507e-08	15.5210660559068
PLEC	0.66808442375	7.70704614765625	8.91381907026736	3.56528101084381e-11	2.38943920001776e-08	15.3937697899206
P4HB	0.57777706625	9.60625830234375	8.90181506813326	3.69986362615362e-11	2.38943920001776e-08	15.3579712174191
GMFB	-0.5582619725	8.4721573765625	-8.79170599545869	5.20154349175817e-11	2.84244345888077e-08	15.0287628359985
AKT1	0.568043677500001	7.7073038890625	8.7713122671264	5.54116156186718e-11	2.84456368447676e-08	14.9676240668972
CEBPA	0.721078285	9.095014946875	8.730322953422	6.29321396092262e-11	2.84456368447676e-08	14.8445870406117
CFP	0.62556277	10.57034556875	8.68486024135872	7.24892502610132e-11	3.0291978462014e-08	14.707882673962
GRINA	0.864392684166666	7.1546681890625	8.58738231287215	9.82351807920827e-11	3.71671292943636e-08	14.4139308160141
GPSM3	0.739633563333334	9.39521299375	8.58359135077354	9.940532891229e-11	3.71671292943636e-08	14.4024759594561
FLNA	0.869315543611116	9.36130289635417	8.40257896317105	1.75291386196794e-10	5.53453336685343e-08	13.8535645468076
GNB2	0.771127983333333	9.08657529375	8.39131465196303	1.81610915566735e-10	5.60940845298299e-08	13.8192809283279
RBM42	0.510758759166666	7.8403683421875	8.34049314052948	2.13113854180653e-10	6.30817008374732e-08	13.6644236249233
ARHGAP4	0.553725006666666	7.4413096875	8.30451426512829	2.38706574766542e-10	6.65008434173142e-08	13.5546173541116
BAG6	0.500823234999995	9.47076156145833	8.29443067752921	2.464215917634e-10	6.73299610725844e-08	13.5238166766695
HGS	0.690889898333333	8.518037071875	8.25128377746411	2.82384946836495e-10	7.42986171232021e-08	13.3918957420598
PLD3	0.6852986625	8.1411231359375	8.20856422124605	3.2322203013075e-10	8.20060465017445e-08	13.2610799800216
PPWD1	-0.545007719999999	7.780249275	-8.13174354813834	4.12277417243648e-10	9.92819922745381e-08	13.0253430619331
PTPN6	0.770119086666666	10.0516781625	8.08052200306595	4.85068199353032e-10	1.04112548603425e-07	12.8678123173107
JUNB	0.775846643333333	9.67249810625	8.02599072041174	5.7690312159827e-10	1.12954031677272e-07	12.6998013492768
YIPF5	-0.508153826666666	8.15743185	-8.02411760552143	5.80352217936436e-10	1.12954031677272e-07	12.6940248240309
PDLIM2	0.5216860875	8.3380735203125	8.01432643074355	5.98723173939379e-10	1.14954849396361e-07	12.6638238284537
MAN2B1	0.651859758333334	9.658016034375	7.99976326414427	6.27139756045654e-10	1.17978755323399e-07	12.6188854384561
ACTBP9	0.513131525	9.667320346875	7.99492590451784	6.36876923710032e-10	1.17978755323399e-07	12.6039537420496
TRIM28	0.535727628333333	8.371489640625	7.95550665593379	7.22134124537357e-10	1.26667674585516e-07	12.4821882814812
SH3BGRL3	0.537818206666667	11.1879391625	7.75783406977768	1.35888146557729e-09	2.06762728876023e-07	11.8692770235001
UCP2	0.526158033333332	10.4234433	7.74950115751712	1.39569268680895e-09	2.08736859938754e-07	11.8433579223379
NFKBIA	0.517319656666668	10.91406718125	7.67767049968903	1.75777803197975e-09	2.52267780589579e-07	11.6196685225791
SMARCD3	0.591097114999999	7.902451778125	7.65579701267064	1.88585006153307e-09	2.61421999121464e-07	11.5514593579218
TRIP4	-0.530736048333333	8.549984146875	-7.56095752937351	2.55940850457633e-09	3.30582509391096e-07	11.2552320205202
AES	0.512701810833333	7.7129637640625	7.55195366394865	2.63480382196554e-09	3.36805357611497e-07	11.2270687084181
MAP1S	0.523973691666667	6.525062784375	7.51774346943353	2.94225962519257e-09	3.63509780475965e-07	11.1200002829891
KIAA1551	-0.559618204166667	9.5024666109375	-7.50450350117828	3.07073814748322e-09	3.76112479305531e-07	11.0785368162859
CD37	0.558014466666667	10.817882075	7.32146392231666	5.55210634671416e-09	5.84328347956405e-07	10.5038892514932
PPP1R15A	0.511580067916666	7.82175515546875	7.22192241566895	7.66979298662569e-09	7.51533922441226e-07	10.1903340077944
CTSD	0.623439486666667	8.3672363375	7.21257416427254	7.90637224202953e-09	7.64175080372486e-07	10.1608516772961
ARHGEF1	0.538861561666666	8.441104865625	7.20100446708129	8.20936588017365e-09	7.80417521092256e-07	10.1243552395042
LOC100505585	0.538861561666666	8.441104865625	7.20100446708129	8.20936588017365e-09	7.80417521092256e-07	10.1243552395042
TMEM50B	-0.5112090975	8.5889000609375	-7.18671761983261	8.59969291675892e-09	8.03844980008623e-07	10.0792752608106
RHOG	0.625603494166666	10.2867773453125	7.17979384075796	8.79552085126655e-09	8.11472469186981e-07	10.0574234677095
EHBP1L1	0.564738243333333	8.21593911875	7.1530237392781	9.59582550588337e-09	8.60057744345835e-07	9.97290624043855
ABHD17A	0.579480056666667	9.80583225625	7.14825583231691	9.74586830234231e-09	8.60057744345835e-07	9.95784838656111
CEP192	-0.56081642	7.3046056625	-7.11798806712405	1.07550079959633e-08	9.20525021726789e-07	9.86222404207618
PLEKHO1	0.540949473333333	9.4391204375	7.11035792996215	1.10255829780104e-08	9.26931851784444e-07	9.83810924481489
MFSD10	0.526327845833333	6.8220023046875	7.08219491456224	1.20849322739058e-08	9.81919206066386e-07	9.74907001462315
H1FX	0.831127361666667	8.055916440625	7.05459747081102	1.32222988294225e-08	1.04537814442819e-06	9.66177256467491
PRKCD	0.558933361666667	9.802846340625	6.99681864247224	1.59644005767886e-08	1.18047950927731e-06	9.47886100401896
HSPA13	-0.54518842375	7.09449303984375	-6.8976917550499	2.20676467979671e-08	1.51256731469671e-06	9.16463073623773
ZYX	0.891750735416667	9.84401786953125	6.85220576917929	2.56063686076363e-08	1.70805298205304e-06	9.02027610956134
HK3	0.5330170675	10.3664043078125	6.8453234747302	2.61893643777867e-08	1.73069064688183e-06	8.99842595159117
ZFP36L2	0.744603915000007	9.513446803125	6.69750405449368	4.24952377620164e-08	2.58022366719115e-06	8.52863664521765
TYK2	0.504093963333333	9.25629665625	6.66981120470214	4.65335519781222e-08	2.74335562865211e-06	8.44053167542663
ITGA5	0.5064576525	8.9846811046875	6.64965015150637	4.9713812157293e-08	2.85965118676445e-06	8.37637278157887
TCIRG1	0.661585866666667	9.17868735	6.53694282161991	7.19600574140323e-08	3.8436409614232e-06	8.01747670228593
VASP	0.550985648333333	9.413381103125	6.51849589968946	7.64531870663376e-08	4.04194438251969e-06	7.95870387837452
EFHD2	0.743122478333334	9.960047859375	6.50854103397034	7.89936669649583e-08	4.12625742734606e-06	7.92698393909573
CST3	0.721845844166668	11.4143899140625	6.49735669129561	8.1949006515881e-08	4.26495049295838e-06	7.8913438385738
GNAI2	0.55356271	10.61096513125	6.49454164786453	8.27101503206878e-08	4.2888533421764e-06	7.88237298350496
PFN1	0.518274763333334	11.90907078125	6.3818755430497	1.19762614265888e-07	5.78771164452291e-06	7.52321671513143
PARP8	-0.514543660833333	9.3255570046875	-6.37048406889142	1.24331719295413e-07	5.91566530719878e-06	7.48689271232951
