""	"X0"	"X1"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"PDPK1"	20.694211662597	17.1972324050071	21.0855116370151	5.70937960559939
"WWP1"	6.50069036026285	4.08184273391208	7.26635558789823	1.20469976483686
"TRIM28"	5.56627115035679	4.53378598138834	6.24628121716985	1.13570720065285
"TP53"	5.24140788140206	4.66017375035034	5.99666014712419	1.01415513905802
"ITPKB"	5.06147581528796	2.32336041545447	4.70293147933118	1.11863815183853
"MDH1"	3.65828709991497	2.82979666516562	4.66136446003468	0.575671979302875
"SYK"	3.51878381022733	2.69584434818871	4.50655453686809	0.683271565737296
"MAP2K3"	4.1588753403079	1.85969145260567	4.05692706642681	0.416195431823295
"MCRS1"	3.86835340062239	1.31305854888699	3.97124022944152	0.368298922899374
"ALOX15B"	3.77385286323969	2.41709195824494	3.94382935159114	0.227068061309209
"GRK6"	4.11212383830786	1.34257290462978	3.70384391739113	0.836812804316817
"DUSP3"	2.07585201017622	3.84228777091111	3.63235219289543	0.62915688447774
"TP63"	3.69160111853834	0.512439165037039	3.30585805410397	0.565406813040856
"HK3"	3.53324420507107	1.72799315916116	3.25707226922303	0.249036641094944
"NR2E1"	2.03591593169954	2.48355527224243	2.79500501525107	0.554545091760265
"KDM4A"	2.28649385005438	1.64035462161002	2.63767462294523	0.569119889003446
"CKB"	2.56694887447904	0.947816396487954	2.59745079377928	0.642073159690071
"SLC16A7"	2.69116103852641	0.632169657731347	2.45997522108043	0.448100499659452
"AKT1"	1.58098277530721	2.24031285872947	2.43700010383396	0.615939296510009
"CXCL1"	0.292581245540319	2.72845976655232	2.23265034823207	0.37050297283917
"PPM1D"	1.68067909272919	0.730573265009327	2.13473238346194	0.210884059302035
"LGALS3"	2.34917863540959	0.582424245081881	2.07104307362434	0.317309682939847
"BHLHE40"	1.81714038429304	1.48956875316048	2.03255130257842	0.410245149300554
"MAST1"	0.489578235252352	2.47950228581813	1.80972190518767	0.380913282832626
"HDAC4"	1.75186122822107	0.51614244333837	1.80703925647038	0.401286692367072
"PIAS4"	1.87989339807415	0.914268840603328	1.77540604404574	0.229234266297305
"PDCD10"	2.47894612040761	-0.205931172046913	1.75318665261237	0.322679545446984
"DDB2"	1.30593703532046	1.22043469078038	1.69241230601347	0.387347000390793
"MXD4"	2.73538733121312	-0.609699904144042	1.63457781637084	0.402890988247615
"RUVBL2"	0.338722128807436	1.58289892712479	1.5681826685552	0.36774324052465
"HRAS"	1.63463807707179	-0.405950465017983	1.26926728412484	0.360212560647276
"CCND1"	-1.20907902306008	2.8224554411848	1.23492936289852	0.478299424954093
"TMSB4X"	1.7649198669921	-0.617485271470075	1.10695150844949	0.251989051134055
"VENTX"	1.03724699203281	0.46019767102051	1.0709882245642	0.416433228183994
"CTNNAL1"	-0.0553886027777408	2.29508514635091	1.01514386811942	0.384702880639495
"MCL1"	-0.0580995604013451	1.23653972197037	0.643306984714619	0.556842105430357
"E2F1"	0.77393913502455	-0.278449962113042	0.555004172746336	0.397834231957673
"NOTCH3"	-0.822171036649616	1.7634062764315	0.472213009634716	0.480474161498588
"ZFP36"	-0.531072758941314	1.22959110805433	0.472093313231805	0.121101580207803
"SMARCA4"	0.290898956700753	-0.186235609224352	0.131517630318457	0.59130223045612
"HIVEP1"	-0.399578616892772	0.229422221778557	0.0435969674746117	0.326665282949237
"UBTD1"	-0.0418915714644889	-0.250664240450308	-0.0120246916732563	0.144242462808941
"CDKN2A"	0.305961521275838	-1.43413727691858	-0.180462723617766	0.154733248027329
"NDRG1"	-1.30765757879113	0.392340340032841	-0.679662417848286	0.120823103722529
"IGFBP3"	-1.24618743197436	-0.0493875162567723	-0.714230016526187	0.35615861787489
"XAF1"	-0.928081705278116	-0.228607241029084	-0.917205194849206	0.262125694058106
"EWSR1"	-1.01884781737287	-1.61962964324112	-1.47588180960554	0.17442499240045
"TRPM8"	-1.2922221749192	-1.66213584703777	-1.61318449111065	0.0908192252161962
"PIM1"	0.0284770035917496	-2.59972972240582	-1.70102465609501	0.157720866078638
"SIX1"	0.0932688714140719	-2.69731889366164	-1.84118096028441	0.312709840082865
