symbol	GSM1526572	GSM1526573	GSM1526574	GSM1526575	GSM1526576	GSM1526577	GSM1526578	GSM1526579	GSM1526580	GSM1526581
1-Dec	3.5330865237	3.4372081651	3.4750831893	3.5709454565	3.2509144682	3.2777963077	3.2710667131	3.1703056073	3.8778503768	3.2394949153
1-Mar	9.2857648496	10.0757536986	9.8181082136	9.975573654	8.3374741542	9.5025974869	10.0272310463	10.1812340283	9.3292524046	9.9666999445
10-Mar	3.6114318709	3.1929818682	3.3381238315	3.3819148016	3.3969208715	3.2281331391	3.1608651461	3.1507074585	3.6952109476	3.2267044609
15-Sep	9.5125905849	9.7526145846	9.3362263519	9.6552334738	9.1252927371	9.6344066922	9.8595249146	9.3138183776	9.534513561	9.543399695
2-Mar	9.3138183776	7.7722603543	7.7603939937	7.7686900554	8.4464216742	7.2866681638	7.5624712163	7.5256715252	9.0541654768	7.9216756321
3-Mar	5.9930790985	6.1242881221	5.8075859839	5.706738805	6.1807455865	6.1009111968	6.3706325532	5.5881521367	5.663538032	5.8617755088
5-Mar	5.4865402046	5.9593273384	6.0674683502	6.1449487147	5.2731902317	6.5672940874	6.5252411167	6.3937469039	5.6711781319	6.0186579425
6-Mar	7.5741480143	8.8280291486	8.9636636964	8.4704762697	9.1274919068	8.7576295544	8.5524382906	8.545800156	7.3245341581	8.6894242033
7-Mar	5.6453814329	8.5689724671	8.3272834649	8.5196234589	8.223034235	7.9651888256	8.4009539883	8.3340045753	5.9382726217	8.0405799856
8-Mar	7.5779037092	8.0447812497	8.71624748	7.9220630343	8.3202627	8.5233817072	8.0356877595	8.2670385272	7.9939126176	8.4497166101
9-Mar	5.9140831851	5.0977768532	5.3686896024	5.432441297	6.5407284539	5.5865370056	5.5295956664	5.585672312	5.4536678196	6.0031690776
A1BG	7.3626593092	6.0377084989	6.1573879172	6.3056293214	6.5172293596	6.1430640428	5.963774743	6.1596283412	7.1338521999	6.1778391432
A1CF	3.3348258599	3.3699320522	3.3279389604	3.3258255885	3.543331905	3.3529692449	3.2320379211	3.2197579152	3.1831716855	3.2187497153
A2LD1	6.4834214792	5.5368121614	5.5022808454	5.64049281	6.08390339	5.7362095954	5.9621673391	5.8089253628	6.1184785573	5.4424113974
A2M	4.432995595	4.0766924545	4.0021269021	4.1198374084	4.2101366343	4.1415915754	4.0223338551	4.1366653816	4.0925145244	4.2588048982
A2ML1	3.2185527785	2.9532911918	3.1709371236	3.0099911275	3.0886858192	2.9069873401	2.7406644482	2.7221415804	3.1878870736	2.8591459896
A4GALT	6.3438133097	4.8796307717	4.920046345	5.5766648753	5.7905691587	4.7687529601	4.8414144529	5.1004173359	5.760872924	4.981046245
A4GNT	3.9909997407	3.4580709811	3.19368132425	3.4946848305	3.6526816881	3.3496354036	3.287411873	3.5284452775	4.0718532803	3.4657148114
AAA1	3.3304578049	3.3162663118	3.0477816284	3.2542789759	3.331452518	3.1465843271	3.0135487619	2.9900655166	3.3764334449	3.2745378422
AAAS	6.7686908336	7.0042796281	6.8727732239	7.1851781895	7.4611167857	7.2747706381	7.4569613292	7.2129294819	7.4432242418	7.2409100718
AACS	6.4123598864	5.656842243	5.5213789491	6.0528183879	6.0275176684	5.7359848239	5.7509537773	5.9785816645	6.0824739946	6.0576494856
AADAC	3.0055077506	2.7650049851	2.7732191663	2.8412025874	2.8975768561	2.6608749267	2.7994678072	2.7884308141	3.0362707987	2.9443787333
AADACL2	3.1160076569	2.905250846	2.8074614326	2.9736486542	2.9682102536	2.850002038	2.9676785822	2.7845418705	2.9038918621	2.8191212735
AADAT	3.0093006252	2.8622561516	2.9083144387	2.9701244781	3.0089041333	2.8452615404	2.8939917842	2.8449267073	2.949946471	2.9557297241
AAGAB	5.1962532641	6.2972480142	6.3864006863	6.0796304373	5.6356734868	6.291014777	6.3296947955	6.3021167193	6.1377957842	6.3978858812
AAK1	5.8434999281	7.4968622427	7.2782891853	7.4865899523	9.4107924121	7.4542635167	7.2915632583	7.5532079427	6.3497280549	8.3482190765
AAMP	7.4999194471	7.2870728878	7.0387926969	7.2728826404	7.0169660292	7.6410808275	7.5650303363	7.0888814744	7.6788166978	7.0793704069
AANAT	5.9617789247	4.7278954367	4.9954925119	5.3845516099	5.2628035159	4.3121319839	4.260632151	4.5160451942	5.6261922874	5.3518311929
AARS	6.2388944651	6.644304249	6.6945559892	6.7477666283	6.9714742239	6.5414904885	6.8636145319	6.697296494	6.9897144285	7.0521393919
AARS2	6.6144408031	6.2725341054	6.0455254798	6.1831268867	6.8339563928	5.9272037302	6.134592739	6.047545266	6.7407293259	6.4441527737
AARSD1	5.8948325806	5.815124476	5.8434999281	5.6308105453	6.1380005075	5.8056780309	6.136513911	5.5939568867	5.9966353278	5.7868895675
AASDH	2.9117062986	4.3872615238	3.7054082499	3.3381238315	3.24276918	3.3856153585	4.1941765975	4.2151897552	3.3718604464	3.7335640959
AASDHPPT	5.5069277887	6.4167977469	6.4076902814	6.6749461495	5.8993447803	6.6894162744	7.0914080191	6.6783079835	6.1698560959	6.605450162
AASS	3.7432705333	3.9631291074	3.8000024034	3.7505681414	4.0161816477	4.0116361942	3.8972182958	3.638234037	3.806434233	4.0700805235
AATF	5.9654809457	7.5308623046	7.505386471	7.6541356924	6.7260472356	7.7738843697	7.7346884574	7.7435339539	7.3049446422	7.6395304424
ABAT	8.019230582	7.015474203	7.0971050634	7.2156967864	7.796617502	6.6539911239	6.6790792152	6.8961531413	7.5574006016	6.9723656649
ABCA1	5.4402939	6.7027228551	6.195090577	6.6194975504	4.9427246317	6.7553214645	6.3595425032	6.8033679373	6.5327386903	5.9671444325
ABCA10	3.0448845328	2.7485679487	2.8357639603	2.8125355105	3.0607136611	2.7978577574	2.8310666324	2.7492409395	3.1001119553	2.9119016321
ABCA11P	2.8873415747	3.2983182121	3.3093668243	3.1667640054	3.8072217415	3.0588087167	3.186468551	3.0931156707	2.9897065505	3.1973323666
ABCA12	3.4961783025	3.2147656273	3.0727624866	3.2150415221	3.1854900679	3.1308141135	3.2051204625	3.1333615692	3.3467609675	3.1394077227
