id	AREG	CCL11	CCL20	CCL3	CCL8	CTSB	CXCL1	CXCL11	CXCL5	CXCL8	EREG	IGFBP3	IL15	IL1A	IL1B	IL6	MMP1	MMP10	MMP12	MMP14	MMP3	PIGF	PLAU	PLAUR	SERPINE1	TIMP2	TNFRSF11B	TNFRSF1A	VEGFA	Cluster
GSM1369796	4.836912	5.58531075	5.106248625	7.171154	5.42252375	9.8669874375	5.27768475	4.76772475	5.27977035416667	5.818628	5.076859	6.092366125	6.6837674375	5.75111	8.2061365	5.618522125	4.80919225	4.84115575	4.9837765	7.0060455625	4.9818225625	7.4763313125	6.261422125	8.2853825	5.8864325	8.750147125	4.87073325	9.475434625	7.36350690625	Cluster1
GSM1369797	4.8431014375	5.53687625	5.254576375	7.345825625	5.62950625	9.587208375	5.833199	4.6876221875	5.70463841666667	6.8466416875	5.407656625	6.19514009375	6.6895974375	5.92685125	9.4810480625	5.606247875	5.16862175	4.848391125	5.212251625	7.248108625	5.02757675	7.3712453125	6.373791625	8.29221708333333	6.110986	8.5529101875	4.84119025	9.266768	7.45271084375	Cluster1
GSM1369798	4.859021	5.6211615	5.155992875	7.2870515	5.592146	9.96789215625	5.39907725	4.7814856875	5.75563495833333	5.8668555	5.22940175	5.93666875	6.8681433125	5.92653571875	8.417875125	5.738021125	5.0344875	4.8258965	5.182902375	7.0665373125	5.147308875	7.3033173125	6.320314875	8.59676858333333	6.3325549375	9.220476625	4.9419396875	9.588947	7.20649534375	Cluster1
GSM1369799	4.8360783125	5.611535875	5.192621125	8.18154525	5.447974875	10.21024678125	5.593526	4.752006375	5.47689370833333	5.97143165625	5.03410525	6.221263375	6.86369625	5.800296875	8.711579	5.715018125	4.845526375	4.799231125	4.9373985	7.163185703125	5.060439	7.07016175	6.26856725	8.64652495833333	6.080355	9.43649725	4.78338825	10.00663925	7.417166984375	Cluster2
GSM1369800	4.8969373125	5.658883125	5.147997625	7.73013	5.9741026875	10.21980553125	5.581510875	4.8329715	6.077894625	6.4461114375	5.437189875	6.0758090625	6.861835125	5.91255925	9.1282746875	5.817646	4.937597	4.685110625	5.06135525	7.06671365625	5.164709	7.277456125	6.28458075	8.636202625	5.9762080625	8.791204625	4.88220575	9.66126675	7.4455319375	Cluster1
GSM1369801	4.77950725	5.657588	5.170947875	8.36509775	5.553957875	10.35663190625	5.873061125	4.7018180625	5.470345125	6.496011875	5.366877	5.9789586875	6.2559279375	5.6817815	9.5444861875	5.621911625	4.95573125	4.817614375	5.19803325	7.06966003125	5.087655125	7.224567375	6.4957325	8.93824233333333	6.046275	9.19438025	4.908206	9.70927475	7.5945618125	Cluster2
GSM1369802	4.89966440625	5.619746	5.328518	7.396001875	5.501155875	10.33791675	5.71486975	4.7630520625	5.76366391666667	6.13478175	5.430751375	5.9792556875	6.7779081875	6.0236016875	8.9564681875	5.650505625	4.998078	4.743207625	5.112908375	7.190850625	5.235161875	7.69098675	6.22643025	8.62092508333333	5.9803919375	9.15288275	4.848570125	9.630129	7.42038090625	Cluster1
GSM1369803	4.9287449375	5.675152375	5.210982625	7.35097575	5.535919375	10.164552125	5.552919875	4.6765905625	5.53186629166667	5.93551609375	5.168777375	6.392428	6.6820451875	6.076283125	8.4495426875	5.727675375	5.10502475	4.911609	5.0447135	7.06613584375	5.06135525	7.42511625	6.332020875	8.74654529166667	5.94270775	9.320146375	4.8183211875	9.903323875	7.4968566875	Cluster1
GSM1369804	4.8404290625	5.658883125	5.1388415	7.484441625	5.645863625	10.34738821875	5.48911725	4.79459078125	5.43000308333333	6.0867060625	5.3659595	6.0674651875	7.0579698125	5.8214075625	8.9902563125	5.790406	4.941963625	4.95980125	5.291160625	7.1227485625	5.19278375	7.1721526875	6.3876853125	8.8829275	6.075259625	9.338171125	4.8322816875	9.9177725	7.1658685	Cluster1
GSM1369805	4.9039030625	5.791682125	5.323867	7.659840625	5.578211625	10.05233728125	5.5177175	4.6946939375	5.77414375	5.8470505	4.860342625	6.37452925	6.5273224375	5.9211904375	8.8843258125	5.709413875	5.022221125	4.8414305	5.21831325	7.1017984375	5.0577795	7.036961375	6.4505174375	8.70405966666667	5.9152178125	8.900269125	4.8000250625	9.869232625	7.402747609375	Cluster1
